Giorno	Nr_treno	DataOra	Ritardo_In_Minuti
01-12-2016	11400	01/12/16 07.44.00	7.0
01-12-2016	11414	01/12/16 09.40.00	-0.5
01-12-2016	11526	01/12/16 09.08.00	1.0
01-12-2016	2276	01/12/16 08.40.00	4.5
01-12-2016	2902	01/12/16 07.13.00	3.0
01-12-2016	2986	01/12/16 07.53.00	6.5
05-12-2016	11400	05/12/16 07.44.00	3.0
05-12-2016	2276	05/12/16 08.40.00	0.0
05-12-2016	2902	05/12/16 07.13.00	0.5
05-12-2016	2986	05/12/16 07.53.00	0.0
12-12-2016	11400	12/12/16 07.44.00	4.5
12-12-2016	11414	12/12/16 09.40.00	2.0
12-12-2016	11526	12/12/16 09.08.00	1.5
12-12-2016	2276	12/12/16 08.40.00	4.0
12-12-2016	2286	12/12/16 18.40.00	10.0
12-12-2016	2986	12/12/16 07.53.00	0.5
13-12-2016	11400	13/12/16 07.44.00	8.5
13-12-2016	11414	13/12/16 09.40.00	0.5
13-12-2016	11526	13/12/16 09.08.00	1.0
13-12-2016	2276	13/12/16 08.40.00	1.0
13-12-2016	2986	13/12/16 07.53.00	4.5
21-03-2017	11400	21/03/17 07.44.00	14.0
21-03-2017	11414	21/03/17 09.40.00	-0.5
21-03-2017	11526	21/03/17 09.08.00	-0.5
21-03-2017	2276	21/03/17 08.40.00	0.0
21-03-2017	2986	21/03/17 07.53.00	9.5
