Giorno,11409,2069,2123,2131,2133,2271,2279,2281,2282,2885,2913,6253,6265,6485
01-12-2016,1.5,4.5,-4.0,-4.0,-3.5,1.5,4.0,2.0,-2.0,0.5
05-12-2016,2.5,-4.0,-1.0,2.0
09-12-2016,1.0
12-12-2016,9.5,-1.5,0.0,10.5,-3.5,4.0,-0.5,5.0,4.5,-2.0,5.0,0.5
13-12-2016,14.0,14.0,15.0,22.5,5.0
21-03-2017,4.5,-4.0,-7.5,-4.5,1.5,1.5,2.0,-0.5,-4.0
