Nr_Treno	Stazione	Arrivo_Programmato	Arrivo_Effettivo	Ritardo_In_Minuti
11526	ANCONA	23/02/17 05.33.00	23/02/17 05.35.00	2.0
11526	FALCONARA MARITTIMA	23/02/17 05.40.00	23/02/17 05.42.30	2.5
11526	SENIGALLIA	23/02/17 05.50.00	23/02/17 05.51.30	1.5
11526	MAROTTA MONDOLFO	23/02/17 05.57.00	23/02/17 05.59.00	2.0
11526	FANO	23/02/17 06.05.00	23/02/17 06.06.30	1.5
11526	PESARO	23/02/17 06.14.00	23/02/17 06.15.30	1.5
11526	CATTOLICA S.GIOVANNI GABICCE	23/02/17 06.25.00	23/02/17 06.27.00	2.0
11526	RICCIONE	23/02/17 06.32.00	23/02/17 06.34.00	2.0
11526	RIMINI	23/02/17 06.43.00	23/02/17 06.42.30	-0.5
11526	CESENA	23/02/17 07.04.00	23/02/17 07.04.00	0.0
11526	FORLI`	23/02/17 07.16.00	23/02/17 07.16.30	0.5
11526	FAENZA	23/02/17 07.27.00	23/02/17 07.27.30	0.5
11526	CASTELBOLOGNESE	23/02/17 07.42.00	23/02/17 07.58.00	16.0
11526	IMOLA	23/02/17 07.50.00	23/02/17 08.05.00	15.0
11526	CASTEL S.PIETRO TERME	23/02/17 08.04.00	23/02/17 08.15.30	11.5
11526	BOLOGNA C.LE	23/02/17 08.21.00	23/02/17 08.30.30	9.5
11526	CASTELFRANCO D'EMILIA	23/02/17 08.45.00	23/02/17 08.47.00	2.0
11526	MODENA	23/02/17 08.54.00	23/02/17 08.54.30	0.5
11526	REGGIO EMILIA	23/02/17 09.08.00	23/02/17 09.12.00	4.0
11526	PARMA	23/02/17 09.23.00	23/02/17 09.29.30	6.5
11526	FIDENZA	23/02/17 09.35.00	23/02/17 09.40.30	5.5
11526	FIORENZUOLA	23/02/17 09.46.00	23/02/17 09.49.00	3.0
11526	PIACENZA	23/02/17 10.05.00	23/02/17 10.02.30	-2.5
2986	BOLOGNA C.LE	23/02/17 07.00.00	23/02/17 07.01.00	1.0
2986	MODENA	23/02/17 07.35.00	23/02/17 07.28.00	-7.0
2986	REGGIO EMILIA	23/02/17 07.53.00	23/02/17 07.57.00	4.0
2986	PARMA	23/02/17 08.14.00	23/02/17 08.16.30	2.5
2986	FIDENZA	23/02/17 08.29.00	23/02/17 08.35.00	6.0
2986	FIORENZUOLA	23/02/17 08.40.00	23/02/17 08.44.00	4.0
2986	PIACENZA	23/02/17 08.56.00	23/02/17 08.56.30	0.5
2986	LODI	23/02/17 09.19.00	23/02/17 09.21.00	2.0
2986	MILANO ROGOREDO	23/02/17 09.35.00	23/02/17 09.37.30	2.5
2986	MILANO LAMBRATE	23/02/17 09.42.00	23/02/17 09.43.00	1.0
2986	MILANO CENTRALE	23/02/17 09.50.00	23/02/17 09.50.00	0.0
2136	ANCONA	23/02/17 16.40.00	23/02/17 16.42.30	2.5
2136	FALCONARA MARITTIMA	23/02/17 16.49.00	23/02/17 16.50.30	1.5
2124	ANCONA	23/02/17 04.35.00	23/02/17 04.40.00	5.0
2124	FALCONARA MARITTIMA	23/02/17 04.43.00	23/02/17 04.46.00	3.0
2068	VERONA PORTA NUOVA	23/02/17 12.45.00	23/02/17 12.46.00	1.0
2068	PESCHIERA DEL GARDA	23/02/17 12.58.00	23/02/17 12.58.30	0.5
2068	DESENZANO	23/02/17 13.08.00	23/02/17 13.09.30	1.5
2068	BRESCIA	23/02/17 13.26.00	23/02/17 13.26.00	0.0
2068	ROVATO	23/02/17 13.37.00	23/02/17 13.36.30	-0.5
2068	CHIARI	23/02/17 13.42.00	23/02/17 13.41.30	-0.5
2068	ROMANO	23/02/17 13.51.00	23/02/17 13.50.30	-0.5
2068	TREVIGLIO	23/02/17 14.03.00	23/02/17 14.01.00	-2.0
2068	PIOLTELLO LIMITO	23/02/17 14.17.00	23/02/17 14.17.00	0.0
2068	MILANO LAMBRATE	23/02/17 14.26.00	23/02/17 14.24.30	-1.5
2068	MILANO CENTRALE	23/02/17 14.35.00	23/02/17 14.35.30	0.5
2276	RIMINI	23/02/17 05.20.00	23/02/17 05.21.00	1.0
2276	BELLARIA	23/02/17 05.29.00	23/02/17 05.31.00	2.0
2276	GATTEO A MARE	23/02/17 05.35.00	23/02/17 05.36.30	1.5
2276	CESENATICO	23/02/17 05.44.00	23/02/17 05.41.00	-3.0
2276	CERVIA-MILANO MARITTIMA	23/02/17 05.53.00	23/02/17 05.55.00	2.0
2276	LIDO DI CLASSE-LIDO DI SAVIO	23/02/17 06.02.00	23/02/17 06.02.30	0.5
2276	RAVENNA	23/02/17 06.20.00	23/02/17 06.19.00	-1.0
2276	GODO	23/02/17 06.37.00	23/02/17 06.39.30	2.5
2276	RUSSI	23/02/17 06.41.00	23/02/17 06.41.30	0.5
2276	BAGNACAVALLO	23/02/17 06.48.00	23/02/17 06.47.30	-0.5
2276	LUGO	23/02/17 06.55.00	23/02/17 06.53.30	-1.5
2276	BARBIANO	23/02/17 07.01.00	23/02/17 07.04.00	3.0
2276	SOLAROLO	23/02/17 07.05.00	23/02/17 07.08.00	3.0
2276	CASTELBOLOGNESE	23/02/17 07.12.00	23/02/17 07.15.00	3.0
2276	IMOLA	23/02/17 07.19.00	23/02/17 07.21.30	2.5
2276	BOLOGNA C.LE	23/02/17 07.43.00	23/02/17 07.42.00	-1.0
2276	ANZOLA	23/02/17 08.03.00	23/02/17 08.02.30	-0.5
2276	SAMOGGIA	23/02/17 08.08.00	23/02/17 08.08.30	0.5
2276	CASTELFRANCO D'EMILIA	23/02/17 08.14.00	23/02/17 08.13.30	-0.5
2276	MODENA	23/02/17 08.23.00	23/02/17 08.22.00	-1.0
2276	RUBIERA	23/02/17 08.32.00	23/02/17 08.32.30	0.5
