Nr_Treno	Stazione	Arrivo_Programmato	Arrivo_Effettivo	Ritardo_In_Minuti
11526	ANCONA	23/12/16 05.33.00	23/12/16 05.37.30	4.5
11526	FALCONARA MARITTIMA	23/12/16 05.40.00	23/12/16 05.44.30	4.5
11526	SENIGALLIA	23/12/16 05.50.00	23/12/16 05.54.00	4.0
11526	MAROTTA MONDOLFO	23/12/16 05.57.00	23/12/16 06.02.30	5.5
11526	FANO	23/12/16 06.05.00	23/12/16 06.10.30	5.5
11526	PESARO	23/12/16 06.14.00	23/12/16 06.20.00	6.0
11526	CATTOLICA S.GIOVANNI GABICCE	23/12/16 06.25.00	23/12/16 06.31.30	6.5
11526	RICCIONE	23/12/16 06.32.00	23/12/16 06.39.30	7.5
11526	RIMINI	23/12/16 06.43.00	23/12/16 06.47.30	4.5
11526	CESENA	23/12/16 07.04.00	23/12/16 07.08.00	4.0
11526	FORLI`	23/12/16 07.16.00	23/12/16 07.18.30	2.5
11526	FAENZA	23/12/16 07.27.00	23/12/16 07.28.00	1.0
11526	CASTELBOLOGNESE	23/12/16 07.42.00	23/12/16 07.34.30	-7.5
11526	IMOLA	23/12/16 07.50.00	23/12/16 07.50.30	0.5
11526	CASTEL S.PIETRO TERME	23/12/16 08.04.00	23/12/16 08.04.00	0.0
11526	BOLOGNA C.LE	23/12/16 08.21.00	23/12/16 08.20.30	-0.5
11526	CASTELFRANCO D'EMILIA	23/12/16 08.45.00	23/12/16 08.49.00	4.0
11526	MODENA	23/12/16 08.54.00	23/12/16 08.57.00	3.0
11526	REGGIO EMILIA	23/12/16 09.08.00	23/12/16 09.10.30	2.5
11526	PARMA	23/12/16 09.23.00	23/12/16 09.28.00	5.0
11526	FIDENZA	23/12/16 09.35.00	23/12/16 09.43.00	8.0
11526	FIORENZUOLA	23/12/16 09.46.00	23/12/16 09.52.00	6.0
11526	PIACENZA	23/12/16 10.05.00	23/12/16 10.06.30	1.5
2986	BOLOGNA C.LE	23/12/16 07.00.00	23/12/16 07.01.00	1.0
2986	MODENA	23/12/16 07.35.00	23/12/16 07.32.00	-3.0
2986	REGGIO EMILIA	23/12/16 07.53.00	23/12/16 07.53.00	0.0
2986	PARMA	23/12/16 08.14.00	23/12/16 08.10.30	-3.5
2986	FIDENZA	23/12/16 08.29.00	23/12/16 08.30.00	1.0
2986	FIORENZUOLA	23/12/16 08.40.00	23/12/16 08.39.30	-0.5
2986	PIACENZA	23/12/16 08.56.00	23/12/16 08.52.30	-3.5
2986	LODI	23/12/16 09.19.00	23/12/16 09.20.00	1.0
2986	MILANO ROGOREDO	23/12/16 09.35.00	23/12/16 09.36.30	1.5
2986	MILANO LAMBRATE	23/12/16 09.42.00	23/12/16 09.43.00	1.0
2986	MILANO CENTRALE	23/12/16 09.50.00	23/12/16 09.52.30	2.5
2124	ANCONA	23/12/16 04.35.00	23/12/16 04.36.30	1.5
2124	FALCONARA MARITTIMA	23/12/16 04.43.00	23/12/16 04.43.00	0.0
2068	VERONA PORTA NUOVA	23/12/16 12.45.00	23/12/16 12.46.00	1.0
2068	PESCHIERA DEL GARDA	23/12/16 12.58.00	23/12/16 12.59.00	1.0
2068	DESENZANO	23/12/16 13.08.00	23/12/16 13.11.00	3.0
2068	BRESCIA	23/12/16 13.26.00	23/12/16 13.27.00	1.0
2068	ROVATO	23/12/16 13.37.00	23/12/16 13.38.00	1.0
2068	CHIARI	23/12/16 13.42.00	23/12/16 13.43.00	1.0
2068	ROMANO	23/12/16 13.51.00	23/12/16 13.51.30	0.5
2068	TREVIGLIO	23/12/16 14.03.00	23/12/16 14.02.30	-0.5
2068	PIOLTELLO LIMITO	23/12/16 14.17.00	23/12/16 14.15.30	-1.5
2068	MILANO LAMBRATE	23/12/16 14.26.00	23/12/16 14.23.30	-2.5
2276	RIMINI	23/12/16 05.20.00	23/12/16 05.21.00	1.0
2276	BELLARIA	23/12/16 05.29.00	23/12/16 05.31.30	2.5
2276	GATTEO A MARE	23/12/16 05.35.00	23/12/16 05.36.30	1.5
2276	CESENATICO	23/12/16 05.44.00	23/12/16 05.41.30	-2.5
2276	CERVIA-MILANO MARITTIMA	23/12/16 05.53.00	23/12/16 05.53.30	0.5
2276	LIDO DI CLASSE-LIDO DI SAVIO	23/12/16 06.02.00	23/12/16 06.02.00	0.0
2276	RAVENNA	23/12/16 06.20.00	23/12/16 06.21.30	1.5
2276	GODO	23/12/16 06.37.00	23/12/16 06.40.00	3.0
2276	RUSSI	23/12/16 06.41.00	23/12/16 06.42.30	1.5
2276	BAGNACAVALLO	23/12/16 06.48.00	23/12/16 06.48.30	0.5
2276	LUGO	23/12/16 06.55.00	23/12/16 06.55.00	0.0
2276	BARBIANO	23/12/16 07.01.00	23/12/16 07.05.00	4.0
2276	SOLAROLO	23/12/16 07.05.00	23/12/16 07.09.00	4.0
2276	CASTELBOLOGNESE	23/12/16 07.12.00	23/12/16 07.15.00	3.0
2276	IMOLA	23/12/16 07.19.00	23/12/16 07.21.30	2.5
2276	BOLOGNA C.LE	23/12/16 07.43.00	23/12/16 07.41.30	-1.5
2276	ANZOLA	23/12/16 08.03.00	23/12/16 08.07.30	4.5
2276	SAMOGGIA	23/12/16 08.08.00	23/12/16 08.12.00	4.0
2276	CASTELFRANCO D'EMILIA	23/12/16 08.14.00	23/12/16 08.16.30	2.5
2276	MODENA	23/12/16 08.23.00	23/12/16 08.24.30	1.5
2276	RUBIERA	23/12/16 08.32.00	23/12/16 08.34.30	2.5
2276	REGGIO EMILIA	23/12/16 08.40.00	23/12/16 08.44.00	4.0
2276	S.ILARIO	23/12/16 08.53.00	23/12/16 08.57.00	4.0
2276	PARMA	23/12/16 09.03.00	23/12/16 09.04.30	1.5
2276	FIDENZA	23/12/16 09.21.00	23/12/16 09.21.30	0.5
2276	FIORENZUOLA	23/12/16 09.31.00	23/12/16 09.39.00	8.0
2276	PIACENZA	23/12/16 09.48.00	23/12/16 09.52.00	4.0
2276	CASALPUSTERLENGO	23/12/16 10.02.00	23/12/16 10.04.00	2.0
2276	LODI	23/12/16 10.13.00	23/12/16 10.16.00	3.0
2276	MILANO ROGOREDO	23/12/16 10.32.00	23/12/16 10.33.00	1.0
2276	MILANO LAMBRATE	23/12/16 10.38.00	23/12/16 10.41.00	3.0
2276	MILANO CENTRALE	23/12/16 10.45.00	23/12/16 10.48.30	3.5
11400	BOLOGNA C.LE	23/12/16 06.52.00	23/12/16 06.53.30	1.5
11400	ANZOLA	23/12/16 07.03.00	23/12/16 07.03.30	0.5
11400	SAMOGGIA	23/12/16 07.08.00	23/12/16 07.09.30	1.5
11400	CASTELFRANCO D'EMILIA	23/12/16 07.14.00	23/12/16 07.14.30	0.5
11400	MODENA	23/12/16 07.22.00	23/12/16 07.24.00	2.0
11400	RUBIERA	23/12/16 07.37.00	23/12/16 07.40.30	3.5
11400	REGGIO EMILIA	23/12/16 07.44.00	23/12/16 07.48.00	4.0
11400	S.ILARIO	23/12/16 07.56.00	23/12/16 07.59.00	3.0
11400	PARMA	23/12/16 08.07.00	23/12/16 08.08.00	1.0
11414	BOLOGNA C.LE	23/12/16 08.54.00	23/12/16 08.55.30	1.5
11414	ANZOLA	23/12/16 09.03.00	23/12/16 09.04.30	1.5
11414	SAMOGGIA	23/12/16 09.08.00	23/12/16 09.09.30	1.5
11414	CASTELFRANCO D'EMILIA	23/12/16 09.14.00	23/12/16 09.14.30	0.5
11414	MODENA	23/12/16 09.23.00	23/12/16 09.23.00	0.0
11414	RUBIERA	23/12/16 09.32.00	23/12/16 09.32.30	0.5
11414	REGGIO EMILIA	23/12/16 09.40.00	23/12/16 09.40.00	0.0
11414	S.ILARIO	23/12/16 09.53.00	23/12/16 09.56.30	3.5
11414	PARMA	23/12/16 10.03.00	23/12/16 10.05.00	2.0
