Nr_Treno	Stazione	Arrivo_Programmato	Arrivo_Effettivo	Ritardo_In_Minuti
6485	PARMA	05/12/16 07.58.00	05/12/16 07.59.00	1.0
6485	S.ILARIO	05/12/16 08.05.00	05/12/16 08.07.00	2.0
6485	REGGIO EMILIA	05/12/16 08.14.00	05/12/16 08.20.00	6.0
6485	RUBIERA	05/12/16 08.24.00	05/12/16 08.29.00	5.0
6485	MODENA	05/12/16 08.32.00	05/12/16 08.39.00	7.0
6485	CASTELFRANCO D'EMILIA	05/12/16 08.41.00	05/12/16 08.49.30	8.5
6485	SAMOGGIA	05/12/16 08.48.00	05/12/16 08.57.30	9.5
6485	ANZOLA	05/12/16 08.53.00	05/12/16 09.02.30	9.5
6485	BOLOGNA C.LE	05/12/16 09.08.00	05/12/16 09.13.00	5.0
6253	PARMA	05/12/16 07.17.00	05/12/16 07.18.00	1.0
6253	REGGIO EMILIA	05/12/16 07.31.00	05/12/16 07.38.00	7.0
6253	MODENA	05/12/16 07.45.00	05/12/16 07.53.00	8.0
6253	BOLOGNA C.LE	05/12/16 08.14.00	05/12/16 08.16.00	2.0
2271	MILANO CENTRALE	05/12/16 05.15.00	05/12/16 05.17.30	2.5
2271	MILANO ROGOREDO	05/12/16 05.26.00	05/12/16 05.24.30	-1.5
2271	LODI	05/12/16 05.41.00	05/12/16 05.40.00	-1.0
2271	PIACENZA	05/12/16 06.07.00	05/12/16 05.59.30	-7.5
2271	FIORENZUOLA	05/12/16 06.22.00	05/12/16 06.19.00	-3.0
2271	FIDENZA	05/12/16 06.30.00	05/12/16 06.31.00	1.0
2271	PARMA	05/12/16 06.44.00	05/12/16 06.44.00	0.0
2271	S.ILARIO	05/12/16 06.52.00	05/12/16 06.54.00	2.0
2271	REGGIO EMILIA	05/12/16 07.02.00	05/12/16 07.07.00	5.0
2271	RUBIERA	05/12/16 07.11.00	05/12/16 07.15.00	4.0
2271	MODENA	05/12/16 07.19.00	05/12/16 07.24.30	5.5
2271	CASTELFRANCO D'EMILIA	05/12/16 07.30.00	05/12/16 07.34.30	4.5
2271	SAMOGGIA	05/12/16 07.38.00	05/12/16 07.42.30	4.5
2271	ANZOLA	05/12/16 07.43.00	05/12/16 07.48.30	5.5
2271	BOLOGNA C.LE	05/12/16 08.02.00	05/12/16 07.58.00	-4.0
2885	VOGHERA	05/12/16 07.00.00	05/12/16 07.03.00	3.0
2885	STRADELLA	05/12/16 07.14.00	05/12/16 07.16.30	2.5
2885	CASTEL S.GIOVANNI	05/12/16 07.22.00	05/12/16 07.25.00	3.0
2885	PIACENZA	05/12/16 07.38.00	05/12/16 07.40.30	2.5
2885	FIORENZUOLA	05/12/16 08.04.00	05/12/16 08.05.00	1.0
2885	FIDENZA	05/12/16 08.13.00	05/12/16 08.14.30	1.5
2885	PARMA	05/12/16 08.28.00	05/12/16 08.28.00	0.0
2885	REGGIO EMILIA	05/12/16 08.45.00	05/12/16 08.47.00	2.0
2885	MODENA	05/12/16 08.59.00	05/12/16 09.02.30	3.5
2885	CASTELFRANCO D'EMILIA	05/12/16 09.07.00	05/12/16 09.12.00	5.0
2885	BOLOGNA C.LE	05/12/16 09.28.00	05/12/16 09.31.00	3.0
2885	CASTEL S.PIETRO TERME	05/12/16 09.49.00	05/12/16 09.51.30	2.5
2885	IMOLA	05/12/16 10.00.00	05/12/16 10.00.00	0.0
2885	CASTELBOLOGNESE	05/12/16 10.08.00	05/12/16 10.07.30	-0.5
2885	FAENZA	05/12/16 10.14.00	05/12/16 10.16.00	2.0
2885	FORLI`	05/12/16 10.25.00	05/12/16 10.28.30	3.5
2069	PIACENZA	05/12/16 08.52.00	05/12/16 08.53.30	1.5
2069	FIORENZUOLA	05/12/16 09.04.00	05/12/16 09.06.00	2.0
2069	FIDENZA	05/12/16 09.13.00	05/12/16 09.15.30	2.5
2069	PARMA	05/12/16 09.28.00	05/12/16 09.30.30	2.5
